MONSTER, NAME, DAMAGE, ANSWER1, ANSWER2, ANSWER3, CORRECT_ANSWER
Bruja de la Insercion,En el algoritmo Quick Sort como se llama el elemento que divide el arreglo en dos particiones?,4,Subarreglo,Pivote,Mediana,2
Bruja de la Insercion,Cual es el mejor caso de complejidad para el Ordenamiento por Insercion?,4,O(n^2),O(n),O(n log n),2
Bruja de la Insercion,Que estructura de datos auxiliar utiliza el algoritmo de recorrido Breadth First?,14,Pila (Stack),Fila (Queue),arbol,2
Bruja de la Insercion,Que estructura de datos auxiliar utiliza el algoritmo de recorrido Depth First?,14,Pila (Stack),Fila (Queue),arbol,1
Bruja de la Insercion,En un grafo dirigido (Digrafo) como se llama el primer elemento de un arco?,14,Destino,Origen,Arco adyacente,2
Bruja de la Insercion,Que representacion de grafos desperdicia espacio si el grafo es NO-Dirigido?,14,Matriz de Adyacencias,Lista de Arcos,Listas Encadenadas Circulares,1
Bruja de la Insercion,Que mtodo de funcion de Hashing consiste en dividir la llave entre el tamao de la tabla y usar el residuo?,10,Cuadrtica,Residuales,Seleccion de Dgitos,2
Bruja de la Insercion,Que estrategia para colisiones reacomoda el elemento colisionado DENTRO del espacio de la Tabla?,10,Encadenamiento Externo,Mtodos de Direccion Abierta,Hashing Abierto,2
Bruja de la Insercion,En el mtodo de Prueba Lineal para colisiones la formula de la nueva posicion es dir_base + J Que representa J?,10,Tamao de la tabla,Cantidad de colisiones que ha provocado esa llave,Valor de la llave,2
Bruja de la Insercion,Como se representan tpicamente los 'buckets' en el mtodo de Encadenamiento Externo?,10,Arreglos,Listas encadenadas,Heaps,2
Bruja de la Insercion,Cual es el orden de complejidad del algoritmo para la multiplicacion de matrices de tamano nxn?,12,O(n^2),O(n log n),O(n^3),3
Bruja de la Insercion,Cual es el orden de complejidad del algoritmo para la multiplicacion de matrices de tamano nxn?,12,O(n^2),O(n^3),O(n log n),2
Bruja de la Insercion,Cual es la filosofa de orden de entrada de una Pila (Stack)?,8,LIFO,FIFO,FILO,1
Bruja de la Insercion,Cual es el nombre de la operacion para insertar un elemento en una Pila?,8,peek,push,top,2
Bruja de la Insercion,Cules son las siglas en ingls para Tipo de Datos Abstracto?,10,DTA,ADT,DTF,2
Bruja de la Insercion,Como se mapea una relacion Muchos a Muchos (M:N) en el Modelo Relacional?,6,Creando una tabla intermedia,Con una FK en la tabla del lado M,Creando un atributo multivalor,1
Bruja de la Insercion,Los atributos derivados se almacenan en el Modelo Relacional?,6,Si - como FKs,No - se calculan cuando se necesitan,Si - se almacenan y se actualizan,2
Bruja de la Insercion,Que tipo de entidad depende de una entidad fuerte para su identificacion y usa la PK de la entidad fuerte?,6,Entidad Normal,Entidad Dbil,Entidad Recursiva,2
Bruja de la Insercion,Cual es la complejidad en el peor caso para el algoritmo de Ordenamiento por Intercambio?,3,O(n^2),O(n log n),O(n),1
Bruja de la Insercion,Cual es el peor caso de complejidad para el algoritmo Quick Sort?,3,O(n^2),O(n log n),O(log n),1
Bruja de la Insercion,Cual es la complejidad en el peor caso para el algoritmo Merge Sort?,10,O(n log n),O(n^2),O(n!),1
Bruja de la Insercion,Cual es la eficiencia de orden para el algoritmo de Bsqueda Binaria?,7,O(n),O(log2 n),O(n^2),2
Bruja de la Insercion,Cual es la aplicacion principal del recorrido Inorden en un ABB?,7,Liberar los nodos del arbol,Desplegar en orden creciente los elementos,Generar una rplica del arbol,2
Bruja de la Insercion,El orden de visita del recorrido Preorden es:,7,Izquierdo-Raiz-Derecho,Raiz-Izquierdo-Derecho,Izquierdo-Derecho-Raiz,2
Bruja de la Insercion,Cual es el orden de eficiencia (en el peor caso) de la Bsqueda Secuencial?,2,O(n),O(log2 n),O(n log n),1
Bruja de la Insercion,Que algoritmo busca el valor ms grande (o menor) y lo intercambia por el valor en el extremo opuesto?,2,Merge Sort,Seleccion Directa,Quick Sort,2
Bruja de la Insercion,Como se llama a una trayectoria en un grafo donde el Nodo de Inicio y el de Terminacion son iguales?,2,Ciclo,Trayectoria Simple,Arco,1
Bruja de la Insercion,Que regla del Modelo Relacional garantiza que la llave primaria es nica y no nula?,9,Integridad Referencial,Integridad de Entidad,Restriccion de Dominio,2
